variant,seed,n_params,r2_full,epochs_run,epochs_budget,K0_mae,K0_rho,K10_mae,K10_rho,K50_mae,K50_rho,K200_mae,K200_rho,K0_mae_1-2,K0_mae_3-4,K0_mae_5-8,K0_mae_9-16,K0_mae_17-32,K0_mae_33-44
A0_repro,0,250261,0.7565286159515381,371,400,0.09720535356986341,0.9214655622785096,0.07079274057333441,0.9450701125634764,0.04900935593544932,0.95131164249093,0.041504760570635034,0.9539244950695918,0.07113426522413889,0.13783161012599102,0.16434010018905004,0.20320644478003183,0.14146503408749897,0.1090739756822586
A0_repro,1,250261,0.7592607140541077,400,400,0.09532552174656524,0.9199756138952944,0.06726771983902669,0.9460202502725024,0.04866649765149389,0.9522252066971455,0.038640753392842404,0.9544034417634549,0.07011585821708043,0.13460147887086257,0.16833392928044003,0.1961687092979749,0.13252801746129989,0.10604306509097419
A1_gcn_dynamic,0,333212,0.7796652317047119,400,400,0.09256084787764929,0.9247123894595928,0.06580625683724779,0.9471414402096322,0.04525911987029557,0.9526878120375218,0.0364369042280765,0.9547768783468488,0.06952790335814156,0.12890796860059103,0.16074403921763103,0.19255568087100983,0.1272705818216006,0.0874866470694542
A1_gcn_dynamic,1,333212,0.7734984755516052,400,400,0.09494391135404961,0.9140429787876203,0.06382758092204528,0.9461808258981674,0.04659449602847575,0.9521035533935659,0.03691381451795144,0.9526813979378316,0.06984107091029483,0.13453005044124064,0.1671029249827067,0.19973715394735336,0.13376795649528503,0.09504277457793554
A2_gcn_noprior,0,201108,0.7598596215248108,378,400,0.10264552588844057,0.9098172179046857,0.0706777731980971,0.9441475043706002,0.04614610303123993,0.9525377904532805,0.03685077615145296,0.9545578823377961,0.07743184840679168,0.14353628571216875,0.1684760128458341,0.2084644059340159,0.13408198604981106,0.10463773359855016
A2_gcn_noprior,1,201108,0.7707390189170837,400,400,0.09457594432352763,0.9244833204120096,0.06567519091309226,0.9475259412602081,0.044875336442199446,0.9528851525075569,0.03656121531214608,0.9542143713517347,0.07038040433327356,0.13387429174513388,0.15958241621653238,0.1979486400882403,0.1229099487264951,0.09404845883448919
A3_gat_dynamic,0,398752,0.7329626083374023,256,400,0.09569210706628518,0.9284260512443048,0.0719653887141578,0.9423441435075957,0.05077475886760427,0.9513151080154028,0.04349905981125968,0.9531140740887554,0.06879633202155429,0.13323828998284462,0.16662165870269138,0.21153883785009384,0.1547399545709292,0.13178205092748005
A3_gat_dynamic,1,398752,0.7700404524803162,400,400,0.08576167504698694,0.9294849677721398,0.06264439764765112,0.9463961797171742,0.047600791904627765,0.9519858530280012,0.03932938920160638,0.9539718328606919,0.06131651840607323,0.12312988631236248,0.14989074766635896,0.19436580141385396,0.12565344125032424,0.09563622872034709
A4_gat_static,0,397720,0.7328944802284241,240,400,0.09936944886966405,0.9140636542373896,0.07338255515255904,0.9436255169608896,0.05220991455005913,0.9504255977114651,0.04498869043265905,0.9530099753894917,0.07172054531176884,0.13771394917216057,0.18072442611058553,0.2199288636445999,0.15757525563240052,0.13168903589248657
A4_gat_static,1,397720,0.7537882924079895,400,400,0.09063425600881705,0.9250078378260649,0.06621546549139491,0.9449016330302059,0.049318330794219836,0.9519666203374839,0.03967007225640937,0.9539011658534707,0.06584510850906371,0.1283526886254549,0.15346833566824594,0.1892510081330935,0.13600567777951558,0.11126899073521297
