数据,目标,τ,δ,规则,关键数,标记数,召回,精确
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,0.0,扫描—认证标记,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,,单字段规则 V({i})>τ,23,10,0.43478260869565216,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,0.0,扫描—认证标记,16,16,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,,单字段规则 V({i})>τ,16,10,0.625,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,0.05,扫描标记（估计）,16,18,1.0,0.8888888888888888
RTS-GMLC,Y_机组出力_223_STEAM_3,0.7,0.05,扫描—认证标记,16,16,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,0.0,扫描—认证标记,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,,单字段规则 V({i})>τ,23,10,0.43478260869565216,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.7,0.0,扫描—认证标记,19,19,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.7,,单字段规则 V({i})>τ,19,10,0.5263157894736842,1.0
RTS-GMLC,Y_机组出力_221_CC_1,0.7,0.05,扫描标记（估计）,19,22,1.0,0.8636363636363636
RTS-GMLC,Y_机组出力_221_CC_1,0.7,0.05,扫描—认证标记,19,19,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,0.0,扫描—认证标记,23,15,0.6521739130434783,1.0
RTS-GMLC,Y_线路潮流_C35,0.5,,单字段规则 V({i})>τ,23,4,0.17391304347826086,1.0
