数据,目标,估计器,τ,δ,规则,关键数,标记数,召回,精确,R精确率
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.7,0.05,扫描标记（估计）,19,23,1.0,0.8260869565217391,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,reconE,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.5,0.05,扫描标记（估计）,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.5,0.05,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,reconE,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.7,0.05,扫描标记（估计）,16,18,1.0,0.8888888888888888,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.7,0.05,扫描标记（估计）,19,22,1.0,0.8636363636363636,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,uniformE,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.5,0.0,扫描—认证标记,23,15,0.6521739130434783,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.5,0.05,扫描标记（估计）,23,22,0.9565217391304348,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.7,0.05,扫描标记（估计）,16,18,1.0,0.8888888888888888,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,uniformE_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.7,0.05,扫描标记（估计）,19,22,1.0,0.8636363636363636,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,uniformE_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.5,0.05,扫描—认证标记,23,22,0.9565217391304348,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,uniformE_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,random_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.7,0.05,扫描标记（估计）,19,23,1.0,0.8260869565217391,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,random_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,random_cy,0.5,0.0,扫描—认证标记,23,15,0.6521739130434783,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,random_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,random_cy,0.5,0.05,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,random_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,random_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,random_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,0.9523809523809523
RTS-GMLC,Y_线路潮流_C35,random_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,0.9523809523809523
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,reconE_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.7,0.05,扫描标记（估计）,19,23,1.0,0.8260869565217391,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,reconE_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.5,0.05,扫描标记（估计）,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.5,0.05,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,reconE_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.7,0.05,扫描标记（估计）,19,23,1.0,0.8260869565217391,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.5,0.05,扫描标记（估计）,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.5,0.05,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@1_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.7,0.05,扫描标记（估计）,19,23,1.0,0.8260869565217391,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@1_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.5,0.0,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.5,0.05,扫描标记（估计）,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.5,0.05,扫描—认证标记,23,20,0.8695652173913043,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.7,0.0,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.7,0.0,扫描—认证标记,21,21,1.0,1.0,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.7,0.05,扫描标记（估计）,21,23,1.0,0.9130434782608695,1.0
RTS-GMLC,Y_线路潮流_C35,recon+random@1_cy,0.7,0.05,扫描—认证标记,21,20,0.9523809523809523,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.7,0.0,扫描标记（估计）,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.7,0.0,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.7,0.05,扫描标记（估计）,16,19,1.0,0.8421052631578947,1.0
RTS-GMLC,Y_机组出力_223_STEAM_3,recon+random@2_cy,0.7,0.05,扫描—认证标记,16,16,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.5,0.0,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.5,0.0,扫描—认证标记,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.5,0.05,扫描标记（估计）,23,23,1.0,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.5,0.05,扫描—认证标记,23,21,0.9130434782608695,1.0,1.0
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.7,0.0,扫描标记（估计）,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.7,0.0,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.7,0.05,扫描标记（估计）,19,22,1.0,0.8636363636363636,0.9473684210526315
RTS-GMLC,Y_机组出力_221_CC_1,recon+random@2_cy,0.7,0.05,扫描—认证标记,19,19,1.0,1.0,0.9473684210526315
